Title,Runtime
The Lost Boys,1h 37m
After,1h 45m
Van Helsing,2h 11m
Puss in Boots: The Last Wish,1h 42m
The Wedding Singer,1h 37m
The Magnificent Seven,2h 12m
A Quiet Place: Day One,1h 39m
Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write About a Serial Killer,
Taken,1h 30m
Man of Steel,2h 23m
Wifelike,1h 45m
Beautiful Boy,2h
IF,1h 44m
Sense and Sensibility,2h 16m
The Parent Trap,2h 8m
Finding Nemo,1h 40m
Iron Man 2,2h 4m
Cinderella,1h 45m
Kneecap,1h 45m
Little Miss Sunshine,1h 41m
Star Trek,2h 7m
Hook,2h 22m
2012,2h 38m
Harry Potter and the Deathly Hallows: Part 1,2h 26m
The Lord of the Rings: The War of the Rohirrim,2h 14m
Demolition,1h 41m
Fantastic Mr. Fox,1h 27m
Top Secret!,1h 30m
Jerry Maguire,2h 19m
Pirates of the Caribbean: Dead Men Tell No Tales,2h 9m
The Elephant Man,2h 4m
The Crow,1h 51m
Pirates of the Caribbean: Dead Man's Chest,2h 31m
Red One,2h 3m
Ground Zero,
Batman,2h 6m
Fantastic Four,1h 40m
Predators,1h 47m
Ted,1h 46m
Caveat,1h 28m
Hamilton,2h 40m
Oblivion,2h 4m
"Lock, Stock and Two Smoking Barrels",1h 47m
Weird Science,1h 34m
Fantastic Beasts and Where to Find Them,2h 12m
Pink Floyd: Live at Pompeii,1h 32m
In Time,1h 49m
Contagion,1h 46m
Raid,2h 2m
Inside Man,2h 9m
Rain Man,2h 13m
Cast Away,2h 23m
Lost in Translation,1h 42m
Red Sparrow,2h 20m
Kingdom of the Planet of the Apes,2h 25m
WALL·E,1h 38m
Pale Rider,1h 55m
Iron Man 3,2h 10m
The Old Guard 2,1h 45m
Saw,1h 43m
The Rocky Horror Picture Show,1h 40m
The Rock,2h 16m
Death Proof,2h 7m
Mystic River,2h 18m
Opus,1h 44m
Geostorm,1h 51m
Dogma,2h 10m
Underwater,1h 35m
13 Hours: The Secret Soldiers of Benghazi,2h 24m
Margin Call,1h 47m
Zack Snyder's Justice League,4h 2m
Gone with the Wind,3h 58m
Nightbitch,1h 39m
It's What's Inside,1h 43m
The Abyss,2h 20m
Tangled,1h 40m
The 40-Year-Old Virgin,1h 56m
Wedding Crashers,1h 59m
Ben-Hur,3h 32m
Deadpool 2,1h 59m
Napoleon,2h 38m
A Quiet Place,1h 30m
Hot Fuzz,2h 1m
Willy Wonka & the Chocolate Factory,1h 40m
Ant-Man and the Wasp: Quantumania,2h 4m
The Last Rodeo,1h 58m
12 Years a Slave,2h 14m
Instant Family,1h 58m
Secretariat,2h 3m
Rocky,2h
The Lion King,1h 58m
Tusk,1h 42m
The Flash,2h 24m
Black Mirror: Bandersnatch,1h 30m
"Girl, Interrupted",2h 7m
Coyote Ugly,1h 40m
Holes,1h 57m
Hannibal,2h 11m
Thirteen,1h 40m
The Dark Tower,1h 35m
The Descent,1h 39m
Erin Brockovich,2h 11m
Aladdin,2h 8m
X-Men: First Class,2h 11m
Man on Fire,2h 26m
Last Night in Soho,1h 56m
The Fast and the Furious: Tokyo Drift,1h 44m
Dirty Dancing,1h 40m
La cocina,2h 19m
"Monsters, Inc.",1h 32m
Mr. & Mrs. Smith,2h
Blended,1h 57m
Death on the Nile,2h 7m
Not Another Teen Movie,1h 29m
Fly Me to the Moon,2h 12m
9 Songs,1h 11m
Peter Pan's Neverland Nightmare,1h 29m
World War Z,1h 56m
The Watchers,1h 42m
Drive-Away Dolls,1h 24m
Priscilla,1h 53m
The Ritual,1h 34m
Shame,1h 41m
The King,2h 20m
Nocturnal Animals,1h 56m
The Prince of Egypt,1h 39m
Purple Hearts,2h 2m
Bring Them Down,1h 46m
Licorice Pizza,2h 13m
Murder on the Orient Express,1h 54m
